DATETIME_simple,MSFT_HIGH
2018-01-02 04:00:00,85.55
2018-01-02 05:00:00,85.94
2018-01-02 06:00:00,85.56
2018-01-02 07:00:00,85.94
2018-01-02 08:00:00,86.03
2018-01-02 09:00:00,86.31
2018-01-02 10:00:00,87.03
2018-01-02 11:00:00,86.025
2018-01-02 12:00:00,85.7686
2018-01-02 13:00:00,85.81
2018-01-02 14:00:00,85.89
2018-01-02 15:00:00,86.04
2018-01-02 16:00:00,85.97
2018-01-02 17:00:00,85.97
2018-01-02 18:00:00,85.95
2018-01-02 19:00:00,86.0
2018-01-03 04:00:00,86.4
2018-01-03 06:00:00,86.02
2018-01-03 07:00:00,86.1
2018-01-03 08:00:00,86.3
2018-01-03 09:00:00,86.51
2018-01-03 10:00:00,86.51
2018-01-03 11:00:00,86.36
2018-01-03 12:00:00,86.46
2018-01-03 13:00:00,86.43
2018-01-03 14:00:00,86.41
2018-01-03 15:00:00,86.47
2018-01-03 16:00:00,86.44
2018-01-03 17:00:00,86.44
2018-01-03 18:00:00,86.44
2018-01-03 19:00:00,86.44
2018-01-04 04:00:00,86.94
2018-01-04 05:00:00,86.6
2018-01-04 06:00:00,86.7
2018-01-04 07:00:00,86.69
2018-01-04 08:00:00,86.79
2018-01-04 09:00:00,87.06
2018-01-04 10:00:00,87.64
2018-01-04 11:00:00,87.679
2018-01-04 12:00:00,87.64
2018-01-04 13:00:00,87.4389
2018-01-04 14:00:00,87.39
2018-01-04 15:00:00,87.3085
2018-01-04 16:00:00,87.4917
2018-01-04 17:00:00,87.15
2018-01-04 18:00:00,87.25
2018-01-04 19:00:00,87.35
2018-01-05 04:00:00,87.35
2018-01-05 05:00:00,87.65
2018-01-05 06:00:00,87.65
2018-01-05 07:00:00,87.59
2018-01-05 08:00:00,87.65
2018-01-05 09:00:00,88.04
2018-01-05 10:00:00,88.21
2018-01-05 11:00:00,88.41
2018-01-05 12:00:00,88.23
2018-01-05 13:00:00,88.161
2018-01-05 14:00:00,88.15
2018-01-05 15:00:00,88.4
2018-01-05 16:00:00,88.3
2018-01-05 17:00:00,88.27
2018-01-05 18:00:00,88.18
2018-01-05 19:00:00,88.24
2018-01-08 04:00:00,88.3
2018-01-08 05:00:00,88.69
2018-01-08 06:00:00,88.97
2018-01-08 07:00:00,88.47
2018-01-08 08:00:00,88.59
2018-01-08 09:00:00,88.59
2018-01-08 10:00:00,88.33
2018-01-08 11:00:00,88.58
2018-01-08 12:00:00,88.49
2018-01-08 13:00:00,88.565
2018-01-08 14:00:00,88.31
2018-01-08 15:00:00,88.44
2018-01-08 16:00:00,88.455
2018-01-08 17:00:00,88.35
2018-01-08 18:00:00,88.34
2018-01-08 19:00:00,88.35
2018-01-09 04:00:00,88.68
2018-01-09 05:00:00,88.68
2018-01-09 06:00:00,88.68
2018-01-09 07:00:00,88.57
2018-01-09 08:00:00,88.59
2018-01-09 09:00:00,88.75
2018-01-09 10:00:00,88.49
2018-01-09 11:00:00,88.7
2018-01-09 12:00:00,88.56
2018-01-09 13:00:00,88.73
2018-01-09 14:00:00,88.52
2018-01-09 15:00:00,88.37
2018-01-09 16:00:00,88.4792
2018-01-09 17:00:00,88.3
2018-01-09 18:00:00,88.22
2018-01-09 19:00:00,88.22
2018-01-10 04:00:00,88.22
2018-01-10 05:00:00,88.0
2018-01-10 06:00:00,87.89
2018-01-10 07:00:00,87.84
2018-01-10 08:00:00,87.99
2018-01-10 09:00:00,88.19
2018-01-10 10:00:00,87.94
2018-01-10 11:00:00,87.88
2018-01-10 12:00:00,87.78
2018-01-10 13:00:00,87.87
2018-01-10 14:00:00,88.14
2018-01-10 15:00:00,87.92
2018-01-10 16:00:00,87.91
2018-01-10 17:00:00,87.89
2018-01-10 18:00:00,87.88
2018-01-10 19:00:00,87.88
2018-01-11 04:00:00,87.99
2018-01-11 06:00:00,88.21
2018-01-11 07:00:00,88.2
2018-01-11 08:00:00,88.19
2018-01-11 09:00:00,88.15
2018-01-11 10:00:00,87.97
2018-01-11 11:00:00,87.87
2018-01-11 12:00:00,88.09
2018-01-11 13:00:00,88.065
2018-01-11 14:00:00,87.9475
2018-01-11 15:00:00,88.08
2018-01-11 16:00:00,88.2
2018-01-11 17:00:00,88.26
2018-01-11 18:00:00,88.25
